startup_round_id,startup_id,participant_id,participant_type,round_record_date,traction
10802,170407,124300,Startup,2013-4-03 22:10:35,2.57e+11
10805,166525,149749,Startup,2012-4-03 22:11:43,314000
10805,166525,18,User,2012-4-03 22:11:43,314000
10805,166525,53,User,2012-4-03 22:11:43,314000
10805,166525,78,User,2012-4-03 22:11:43,314000
10806,166525,64,User,2013-4-03 23:34:20,250000
10807,173152,3003,Startup,2012-4-03 23:34:20,8e+05
10807,173152,71988,Startup,2012-4-03 23:34:20,8e+05
10807,173152,167912,Startup,2012-4-03 23:34:20,8e+05
10807,173152,15,User,2012-4-03 23:34:20,8e+05
10807,173152,73,User,2012-4-03 23:34:21,8e+05
10807,173152,79,User,2012-4-03 23:34:21,8e+05
10807,173152,24,User,2012-4-03 23:34:21,8e+05
10807,173152,28,User,2012-4-03 23:34:21,8e+05
10807,173152,48,User,2012-4-03 23:34:21,8e+05
10807,173152,27,User,2012-4-03 23:34:21,8e+05
10808,173152,10809,Startup,2013-4-03 23:34:21,2.3e+07
10808,173152,88314,Startup,2013-4-03 23:34:21,2.3e+07
10808,173152,126537,Startup,2013-4-03 23:34:21,2.3e+07
10808,173152,173160,Startup,2013-4-03 23:34:21,2.3e+07
10808,173152,14,User,2013-4-03 23:34:21,2.3e+07
10809,173160,120020,Startup,2013-4-16 21:12:01,56000
10809,173160,172097,Startup,2013-4-16 21:12:01,56000
10809,173160,172097,Startup,2013-4-16 21:12:01,56000
10809,173160,91083,Startup,2013-4-16 21:12:01,56000
10811,162729,87558,Startup,2012-4-04 00:20:34,2179523
10812,121027,171646,Startup,2013-4-04 00:28:48,1.4e+07
10812,121027,44,User,2013-4-04 00:28:48,1.4e+07
10812,121027,50,User,2013-4-04 00:28:48,1.4e+07
10812,121027,30,User,2013-4-04 00:28:48,1.4e+07
10812,121027,22,User,2013-4-04 00:28:49,1.4e+07
10812,121027,88048,Startup,2013-4-04 00:29:16,1.4e+07
10813,121027,140169,Startup,2012-4-04 00:30:27,600
10813,121027,173115,Startup,2012-4-04 00:30:27,600
10813,121027,168176,Startup,2012-4-04 00:30:27,600
10814,121027,4061,Startup,2013-4-04 00:30:27,1.4e+07
10814,121027,71988,Startup,2013-4-04 00:31:04,1.4e+07
10815,173115,171440,Startup,2012-4-04 00:50:18,355
10819,140169,174126,Startup,2012-4-04 01:01:51,30000
10821,168222,70,User,2012-4-04 01:04:53,3200000
10821,168222,43,User,2012-4-04 01:04:53,3200000
10821,168222,50,User,2012-4-04 01:04:53,3200000
10822,173260,173881,Startup,2013-4-04 01:04:53,2e+05
10822,173260,90470,Startup,2013-4-04 01:04:53,2e+05
10822,173260,86972,Startup,2013-4-04 01:04:53,2e+05
10822,173260,105348,Startup,2013-4-04 01:05:57,2e+05
10823,173260,4032,Startup,2012-4-04 02:26:56,2094
10824,171646,7717,Startup,2013-4-04 03:43:23,1200000
10825,171646,150349,Startup,2012-4-04 03:44:20,4e+05
10826,171646,172221,Startup,2013-4-04 03:45:51,1200000
10827,171992,172721,Startup,2012-4-04 03:46:56,0
10830,172110,78114,Startup,2013-4-04 19:35:29,20000
10830,172110,88077,Startup,2013-10-11 00:31:31,20000
10830,172110,19389,Startup,2013-10-11 00:31:31,20000
10830,172110,174404,Startup,2013-10-11 00:31:31,20000
10832,172721,172721,Startup,2013-4-04 19:49:34,1200
10832,172721,100211,Startup,2013-4-04 19:49:34,1200
10858,150349,166233,Startup,2013-4-04 23:09:10,4200000
10858,150349,174215,Startup,2013-4-04 23:09:10,4200000
10858,150349,162729,Startup,2013-4-04 23:09:10,4200000
10858,150349,55,User,2013-4-04 23:09:10,4200000
10858,150349,18,User,2013-4-04 23:09:10,4200000
10858,150349,28,User,2013-4-04 23:09:10,4200000
10858,150349,61,User,2013-4-04 23:09:10,4200000
10858,150349,64,User,2013-4-04 23:09:10,4200000
10858,150349,14,User,2013-4-04 23:09:10,4200000
10859,173469,150349,Startup,2012-4-04 23:09:10,1e+05
10859,173469,168502,Startup,2012-4-04 23:09:10,1e+05
10859,173469,174438,Startup,2012-4-04 23:09:10,1e+05
10859,173469,173878,Startup,2012-4-04 23:09:10,1e+05
10859,173469,61,User,2012-4-04 23:09:11,1e+05
10859,173469,75,User,2012-4-04 23:09:11,1e+05
10859,173469,173115,Startup,2012-4-04 23:09:11,1e+05
10859,173469,71,User,2012-4-04 23:09:11,1e+05
10861,173591,56,User,2012-4-04 23:09:11,1e+05
10861,173591,76,User,2012-4-04 23:09:11,1e+05
10866,172221,173276,Startup,2013-4-04 23:09:13,3400
10874,78114,71988,Startup,2013-4-04 23:09:17,50000
10874,78114,69242,Startup,2013-4-04 23:09:17,50000
10874,78114,58,User,2013-4-04 23:09:17,50000
10876,166233,150349,Startup,2013-4-04 23:09:17,1e+05
10876,166233,11,User,2013-4-04 23:09:17,1e+05
10878,173276,7717,Startup,2013-4-04 23:09:18,3e+11
10878,173276,62,User,2013-4-04 23:09:18,3e+11
10878,173276,59,User,2013-4-04 23:09:18,3e+11
10878,173276,41,User,2013-4-04 23:09:18,3e+11
10878,173276,87522,Startup,2013-4-04 23:09:18,3e+11
10878,173276,51,User,2013-4-04 23:09:18,3e+11
10878,173276,40,User,2013-4-04 23:09:18,3e+11
10878,173276,172097,Startup,2013-4-04 23:09:18,3e+11
10878,173276,91083,Startup,2013-4-04 23:09:18,3e+11
10878,173276,78,User,2013-4-04 23:09:18,3e+11
10878,173276,25,User,2013-4-04 23:09:18,3e+11
10878,173276,87522,Startup,2013-3-05 12:26:03,3e+11
10879,173276,91083,Startup,2012-4-04 23:09:18,50000
10879,173276,165544,Startup,2012-4-04 23:09:18,50000
10880,166233,88698,Startup,2013-4-04 23:09:19,1e+05
10880,166233,173276,Startup,2013-4-04 23:09:19,1e+05
10880,166233,87995,Startup,2013-4-04 23:09:19,1e+05
10880,166233,20,User,2013-4-04 23:09:19,1e+05
10880,166233,172714,Startup,2013-4-04 23:09:19,1e+05
10881,171440,172714,Startup,2012-4-04 23:09:19,420000
10881,171440,58,User,2013-11-21 20:18:39,1e+09
10881,171440,47,User,2013-11-21 20:18:39,1e+09
10881,171440,28,User,2013-11-21 20:18:39,1e+09
10881,171440,44,User,2013-11-21 20:18:39,1e+09
10881,171440,47,User,2013-11-21 20:18:39,1e+09
10881,171440,73,User,2013-11-21 20:18:40,1e+09
10881,171440,79,User,2013-11-21 20:18:40,1e+09
10882,171440,55,User,2013-8-14 14:03:57,1e+09
10882,171440,52,User,2013-8-14 14:03:57,1e+09
10882,171440,57,User,2013-8-14 14:03:57,1e+09
10882,171440,54,User,2013-8-14 14:03:57,1e+09
10882,171440,63,User,2013-8-14 14:03:57,1e+09
10882,171440,70,User,2013-8-14 14:03:57,1e+09
10882,171440,31,User,2013-8-14 14:03:57,1e+09
10882,171440,54,User,2013-8-14 14:03:57,1e+09
10882,171440,31,User,2013-8-14 14:03:57,1e+09
10882,171440,69,User,2013-8-14 14:03:57,1e+09
10882,171440,76,User,2013-8-14 14:03:57,1e+09
10882,171440,38,User,2013-8-14 14:03:57,1e+09
10882,171440,3,User,2013-8-14 14:03:57,1e+09
10882,171440,55,User,2013-8-14 14:03:57,1e+09
10882,171440,46,User,2013-8-14 14:03:57,1e+09
