focal_district,district
Ernakulam,Kottayam
Erode,Chamarajanagar
Erode,Nilgiris
Erode,Coimbatore
Erode,Tiruppur
Erode,Dharmapuri
Erode,Salem
Erode,Namakkal
Erode,Karur
Etah,Kanshiran Nagar
Etah,Farrukhabad
Etah,Mainpuri
Etah,Firozabad
Etah,Mahamaya Nagar|
Etawah,Mainpuri
Etawah,Farrukhabad
Etawah,Jalaun
Etawah,Bhind
Faizabad,Barabanki
Faizabad,Gonda
Faizabad,Basti
Faizabad,Ambedkar Nagar
Faizabad,Sultanpur
Faridabad,Ballabgarh
Faridabad,Palwal
Faridabad,Hodal
Faridabad,Hathin
Faridkot,Moga
Faridkot,Muktsar
Faridkot,Bathinda
Faridkot,Firozpur
Farrukhabad,Budaun
Farrukhabad,Shahjahanpur
Farrukhabad,Etah
Farrukhabad,Hardoi
Farrukhabad,Mainpuri
Farrukhabad,Kannauj
Fatehabad,Jind
Fatehabad,Rohtak
Fatehabad,Bhiwani
Fatehabad,Hanumangarth
Fatehpur,Unnao
Fatehpur,Kanpur Nagar
Fatehpur,Hamirpur
Fatehpur,Kaushambi
Fatehpur,Chitrakut
Fatehpur,Banda
Firozabad,Etah
Firozabad,Agra
Firozabad,Etawah
Firozabad,Mainpuri
Firozpur,Moga
Firozpur,Faridkot
Firozpur,Muktsar
Firozpur,Ganganagar
Firozpur,Kapurthala
Firozpur,Amritsar
Gandhinagar,Sabarkantha
Gandhinagar,Kheda
Gandhinagar,Ahmedabad
Gandhinagar,Mehsana
Ganganagar,Hanumangarh
Ganganagar,Bikaner
Ganganagar,Bathinda
Ganganagar,Pakistan
Ganjam,Bhubaneswar
Ganjam,Nayagarh
Ganjam,Puri
Ganjam,Khordha
Ganjam,Gajapati
Ganjam,Phulabani
Gaya,Aurangabad
Gaya,Nawada
Gaya,Jahanabad
Gaya,Arwal
Gaya,Chatra
Ghazipur,Mau
Ghazipur,Azamgarh
Ghazipur,Jaunpur
Ghazipur,Varanasi
Ghazipur,Chandauli
Ghazipur,Kaimur
Ghazipur,Buxar
Ghazipur,Ballia
Giridih,Jamui
Giridih,Nawada
Giridih,Deoghar
Giridih,Jamtara
Giridih,Dhanbad
Giridih,Bokaro
Giridih,Hazaribagh
Giridih,Koderma
Goalpara,Dhubri
Goalpara,Bongaigaon
Goalpara,Barpeta
Goalpara,Kamrup
Godda,Dumka
Godda,Sahebganj
Godda,Bhagalpur
Gonda,Barabanki
Gonda,Sitapur
Gonda,Sravasti
Gonda,Balrampur
