Portfolio Company Name,Website,Stage,Deal Date,Deal Size,DealSize (USD mn),DealSize (EUR mn),Total Known Funding (USD mn),Total Known Funding (EUR mn),Deal Status,Investors,Specific Funds,State,Location,Region,VC Industry Classification,Primary Industry,Sub-Industries,Investment Status
"Zynga, Inc.",www.zynga.com,Series B/Round 2,4/1/10,15.00 USD,15,11.09,1024.03,774,Completed,,,California,US,North America,Software & Related,Gaming,"Internet/Web Games, Social Networking & Communication Platform",Active
Zyngenia Inc.,www.zyngenia.com,Series A/Round 1,11/4/09,10.00 USD,10,6.72,25,18.41,Completed,New Enterprise Associates,New Enterprise Associates XIII,,US,North America,Health Care,Pharmaceuticals,BioPharmaceuticals,Active
Zyngenia Inc.,www.zyngenia.com,Series A/Round 1,9/8/10,15.00 USD,15,11.69,25,18.41,Completed,New Enterprise Associates,New Enterprise Associates XIII,,US,North America,Health Care,Pharmaceuticals,BioPharmaceuticals,Active
Zynstra,www.zynstra.com,Seed,3/1/12,0.23 USD,0.23,0.18,6.43,4.91,Completed,,,,UK,West Europe,Software & Related,Software,"Cloud Computing & Solutions, Monitoring & Security Software",Active
Zynstra,www.zynstra.com,Angel,9/28/12,2.40 USD,2.4,1.87,6.43,4.91,Completed,,,,UK,West Europe,Software & Related,Software,"Cloud Computing & Solutions, Monitoring & Security Software",Active
Zynstra,www.zynstra.com,Series A/Round 1,9/12/13,3.80 USD,3.8,2.86,6.43,4.91,Completed,Octopus Investments ,,,UK,West Europe,Software & Related,Software,"Cloud Computing & Solutions, Monitoring & Security Software",Active
"Zyomyx, Inc",www.zyomyx.com,Series B/Round 2,6/30/13,12.00 USD,12,9.36,103.6,102.4,Completed,"Alloy Ventures, Bill and Melinda Gates Foundation, Mylan",,California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series D/Round 4,12/4/00,32.60 USD,32.6,34.73,103.6,102.4,Completed,"Alloy Ventures, China Development Bank Capital, Credit Suisse, Invus Group, Mediphase Venture Partners, MSDW Venture Partners, Skyline Ventures, Softbank, Sumitomo Corporation, Yasuda Enterprise Development","Asset Management Associates 96, Mediphase Venture Partners I, Morgan Stanley Venture Partners IV, Skyline I",California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series E/Round 5,8/5/02,27.00 USD,27,27.39,103.6,102.4,Completed,"Credit Suisse, GE Capital, Lilly Ventures",Lilly BioVentures,California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series F/Round 6,2/12/04,10.00 USD,10,7.94,103.6,102.4,Completed,"Alloy Ventures, Biomedical Sciences Investment Fund, Credit Suisse, EDBI, GCM Customized Fund Investment Group, Hambrecht & Quist, Lilly Ventures, Mediphase Venture Partners, Tekla Capital Management","Access Technology Partners, Lilly BioVentures, Mediphase Venture Partners I, Mobile Commerce Venture Fund",California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series C/Round 3,3/31/00,22.00 USD,22,22.98,103.6,102.4,Completed,"Alloy Ventures, Burrill & Company, Lombard Odier Darier Hentsch, Mediphase Venture Partners, Singapore Bio-Innovations, Skyline Ventures, Tekla Capital Management","Asset Management Associates 96, Burrill Biotechnology Capital I, Mediphase Venture Partners I, Skyline I",California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series B/Round 2,3/31/99,,,,103.6,102.4,Completed,"Asset Management, Hambrecht & Quist, Lombard Odier Darier Hentsch, Skyline Ventures","Access Technology Partners, Skyline I",California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
"Zyomyx, Inc",www.zyomyx.com,Series A/Round 1,1/1/98,,,,103.6,102.4,Completed,Skyline Ventures,Skyline I,California,US,North America,Health Care,Biotechnology,"Bioinformatics, Healthcare",Realised
Zyray Wireless,,Series A/Round 1,4/1/01,,,,,,Completed,,,California,US,North America,Other IT,Wireless,Semiconductors,Realised
Zyrion Corporation,www.zyrion.com,Add-on,7/10/13,,,,,,Completed,"Insight Venture Partners, Kaseya",,California,US,North America,Other IT,IT Infrastructure,Cloud Computing & Solutions,Active
"ZyStor Therapeutics, Inc.",www.zystor.com,Unspecified Round,12/15/04,8.50 USD,8.5,6.28,8.5,6.28,Completed,"Apjohn Ventures, Hexagon Investments, Mason Wells, Prolog Ventures, State of Wisconsin Investment Board, Stonehenge Growth Capital, Venture Investors","Advantage Capital Wisconsin Partners I, Apjohn Ventures Fund, Mason Wells Biomedical Fund I, Prolog Capital I",Wisconsin,US,North America,Health Care,Pharmaceuticals,BioPharmaceuticals,Realised
ZyTax,,Add-on,5/14/14,,,,,,Completed,"Avalara, Inc., Battery Ventures, Benaroya Venture Capital, Sageview Capital",,Texas,US,North America,Software & Related,Software,"Systems Management Software, Accounting/Finance Software",Active
Zytoprotec GmbH,www.zytoprotec.com,Series A/Round 1,1/29/13,2.00 EUR,2.68,2,2.68,2,Completed,Baxter Ventures,,,Austria,West Europe,Health Care,Biotechnology,,Active
ZZish,www.zzish.com,Seed,3/24/14,0.12 USD,0.12,0.09,0.12,0.09,Completed,TechStars,,,UK,West Europe,Telecoms,Telecoms,"Education & Training Website, Mobile Applications, Education & Training Software",Active
